SKU,2527,3042,3086,3155,3166,8272,9311,13159,13160,14011,14013,14017,14018,14019,14119,14121,14301,14501,14601,14616,14706,21011,21022,21066,21077,21452,21485,21496,21598,21780,21791,21984,22546,22740,30373,30453,30828,33001,33127,36165,36766,36777,36788,36824,36835,38058,38069,38194,38273,38284,38295,38320,38331,38538,38579,38626,38637,38648,38660,39040,39094,39527,39673,39684,39800,39991,39994,39998,42598,47101,47681,48203,50938,51373,65001,65002,65007,65077,65202,65205,65301,65503,65804,65902,65903,65906,65908,65912,65982,65985,66101,66104,66403,66405,66604,98001,98002,98003,98004,98005,98006,98008,98011,98013,98014,98015,98016,98019,98020,98021,98022,98023,98024,98030,98032,98038,98039,98040,98047,98048,98055,98056,98063,98064,98071,98072,98073,98074,98080,98081,98083,98084,98201,98207,98208,98219,98220,98222,98223,98301,98302,98303,98304,98305,98306,98488,99001,99002,99003,99004,99005,99006,288203,288204,289101,289510,289677,13239BSL,13272CO,13272MW,13330IV,13396IV,13400BR,13400WH,13400WSR,13401MLV,13590BR,13670MB,13953BB,13953IV,13979BK,13979WH,13980WH,13986WGL,14000BR,14000IV,14000WH,14008BR,14020BR,14020IV,14026WH,21180R,21350WH,27390WH,27404GN,27404WH,27415GN,27426BK,27426BU,27426RD,27426YW,27437BK,27437RD,27437YW,27448BU,27448RD,27448YW,28190GY,30227WH,30238WH,30249WH,30250WH,30271WH,30384WH,38320DB,92853WH,93145BK-1,93148BK-1,93373BK-1,93376BK-1,93379BK-1,93481BK-1,93484BK-1,96102GN,96103WH,96104BU,96104GN,96104YW,96105BK,96105BU,96105YW,96106BK,96106BU,96106RD,96106YW,96107RD,PBTM01107,PBTM01207,PBTM02207,PBUM01037,PBUM01057,PBUM01077,PBUM01097,PBUM01127,PBUM01157,PBUM01187,PBUM04307,PPAM05126,PPAM05156,PPAM06156,PPAM07156,PPAM08156,PPAM11156,PSTM01257,PSTM01457,WIM5011B,WIM51234
01-08-2019,1551,2240,891,1628,369,1034,597,57,49,6,14,20,15,41,36207,2882,1667,3970,4932,2398,735,24620,721,5218,77,1854,1544,976,3925,1048,1255,89,2005,4,10354,635,5548,587,61,362,9,14,6,11,8,18729,1557,23441,2721,2464,1310,22585,2499,16661,42,6649,6213,938,1235,699,2468,4733,4242,7741,4090,5167,5841,2088,1524,15345,131,1712,4190,7947,83599,3220,9189,958,25317,10362,5275,18131,2025,1895,3009,3813,1030,2700,59,363,1333,255,409,224,259,173,597,708,237,108,234,41,10,2,517,88,138,9,4,3,130,37,47,18,8,37,31,92,2,6,1044,572,23,79,64,49,199,343,48,5,114,42,1,2,17,6,1,1,3,5,23,10,2,10,2,89,1157,3939,4474,1476,1397,2004,212,70,907,58,25,2,15,22,16,15,60,39,46,10,5,3,23,26,2,65,125,2,157,80,125,177,146,47,10,1303,9,97,54,44,19,57,33,65,29,14,15,8,3,6,3,51,921,2607,1432,2892,1441,897,13,518,9,10,8,13,4,5,2,228,112,186,40,180,198,127,126,60,26,61,26,14,156,827,235,407,1373,8238,4816,719,862,385,22,29,28,15,79,93,2,22,14,92,2
02-08-2019,1613,2330,909,1628,354,1024,585,56,48,6,14,20,16,40,34759,2911,1684,3891,5080,2422,742,24620,692,5479,73,1761,1498,1015,4004,996,1205,86,1925,4,10043,667,5548,593,59,369,9,14,6,11,8,17980,1495,23441,2721,2365,1362,23037,2524,16661,43,6450,5964,947,1173,678,2468,4686,4115,8128,4131,5064,5666,2192,1570,15959,128,1626,4274,7709,79419,3252,9648,987,26077,10155,5117,18494,2106,1838,3099,3660,1051,2565,62,370,1320,265,393,215,272,182,603,708,242,104,236,42,10,2,496,92,135,9,4,3,135,35,49,18,8,35,32,91,2,6,1096,561,22,79,67,50,199,333,49,5,114,43,1,2,18,6,1,1,3,5,23,10,2,10,2,91,1111,3939,4295,1461,1439,1904,220,67,934,56,26,2,16,22,16,15,58,39,46,10,5,3,23,27,2,65,120,2,154,83,126,184,142,48,10,1355,9,99,54,45,19,58,34,63,30,14,15,8,3,6,3,49,930,2477,1403,3037,1470,933,12,518,9,10,8,14,4,5,2,217,115,190,39,173,190,127,127,63,26,58,27,14,151,868,233,399,1359,7991,5009,705,896,366,22,28,27,15,79,93,2,23,13,92,2
03-08-2019,1613,2423,936,1563,343,1055,608,57,48,6,14,20,16,38,36149,2969,1617,3735,4877,2519,720,24866,699,5424,75,1708,1573,1045,3884,1036,1181,83,1925,4,9943,700,5548,587,61,365,9,13,6,11,8,17800,1495,24379,2830,2483,1403,23037,2398,17494,42,6386,5845,947,1173,651,2468,4639,4321,8047,4255,4912,5836,2214,1649,16119,124,1642,4274,7401,82596,3415,10130,1017,25034,10460,5373,19049,2211,1801,3161,3660,1104,2591,62,359,1267,278,377,204,269,175,615,722,232,103,234,43,10,2,486,97,138,9,4,3,128,35,49,17,8,36,34,88,2,6,1096,589,23,77,64,50,197,350,49,5,117,43,1,2,18,6,1,1,3,5,23,10,2,10,2,86,1122,4097,4467,1476,1367,1904,224,65,915,56,25,2,16,22,16,15,61,41,48,10,5,3,23,28,2,62,116,2,152,85,129,175,141,46,10,1369,9,104,53,47,18,55,33,61,31,14,15,8,3,6,3,47,967,2403,1473,2885,1397,970,12,508,9,10,8,14,4,5,2,217,112,186,38,178,188,130,130,66,26,55,27,14,143,825,228,419,1386,8071,5009,733,941,359,21,29,28,15,75,89,2,24,12,91,2
04-08-2019,1532,2350,889,1532,340,1055,578,60,48,6,13,21,16,38,35426,2850,1649,3922,5023,2569,720,23871,671,5207,73,1674,1557,1035,3767,1088,1169,82,2021,4,9645,700,5437,587,61,350,9,13,6,11,8,17266,1450,24867,2943,2508,1473,22346,2374,17844,42,6322,5611,928,1208,618,2542,4546,4191,8047,4255,4666,5953,2170,1698,15635,129,1642,4146,7697,83422,3483,10130,1068,25535,10146,5642,19430,2167,1711,3224,3477,1071,2669,63,363,1330,281,377,194,280,177,627,751,241,107,241,43,10,2,501,101,138,9,4,3,133,34,50,16,8,38,35,85,2,6,1151,565,24,77,61,50,189,364,48,5,112,43,1,2,19,6,1,1,3,5,24,11,2,10,2,85,1111,4261,4244,1535,1312,1980,231,68,869,55,25,2,16,23,16,14,64,42,48,10,5,3,23,28,2,62,113,2,147,89,134,175,134,48,10,1383,9,109,52,47,18,56,33,62,33,15,15,8,3,6,3,49,967,2523,1458,3029,1355,951,12,528,9,10,8,15,4,5,2,226,109,192,38,182,179,126,130,65,27,58,26,14,146,858,223,436,1372,7829,5059,748,979,359,21,28,27,15,77,85,2,25,11,93,2
05-08-2019,1517,2374,880,1563,330,1055,566,58,46,6,13,20,16,40,34009,2765,1665,3883,5174,2518,742,24110,698,5207,70,1624,1604,1045,3729,1110,1181,83,2122,4,9163,679,5709,616,60,357,9,13,6,11,8,16921,1465,24867,3031,2558,1399,23463,2421,16952,44,6069,5667,882,1220,599,2466,4319,4233,7967,4170,4759,5774,2083,1630,16260,129,1691,3939,7851,82588,3379,9927,1036,25535,10552,5698,18847,2102,1711,3063,3477,1125,2562,61,345,1330,270,366,200,294,175,602,759,251,112,248,44,10,2,511,101,139,9,4,3,132,32,49,16,8,38,34,84,2,6,1093,554,23,78,62,52,195,375,49,5,116,44,1,2,18,6,1,1,3,5,24,11,2,10,2,87,1078,4176,4414,1566,1260,1921,222,65,826,53,24,2,16,24,15,14,61,42,50,10,5,3,23,29,2,61,111,2,144,86,131,182,130,46,10,1328,9,113,53,47,18,53,32,61,31,14,15,8,3,6,3,49,957,2447,1458,3180,1355,932,12,528,9,10,8,14,4,5,2,224,112,192,37,189,186,120,129,68,26,55,25,14,143,867,227,432,1345,7672,4907,748,930,348,20,28,28,15,80,88,2,24,10,95,2
06-08-2019,1441,2398,906,1563,337,1108,589,57,46,6,14,20,16,41,34349,2737,1748,3767,5174,2644,712,23146,670,5311,73,1624,1668,993,3804,1154,1205,81,2164,4,9621,693,5709,591,62,350,9,13,6,11,8,16583,1494,25613,3152,2584,1357,24402,2348,16104,45,6251,5384,864,1208,611,2540,4449,4445,8126,4003,4569,6005,2166,1581,16423,125,1674,4057,7458,80110,3514,10026,984,24258,10763,5755,19601,2207,1779,2910,3581,1148,2664,62,362,1290,281,366,192,306,170,608,736,243,115,260,46,10,2,496,97,135,9,4,3,139,33,48,16,8,38,34,81,2,6,1060,560,23,79,61,50,203,386,48,5,116,44,1,2,18,6,1,1,3,5,25,10,2,10,2,90,1121,4092,4546,1629,1285,1883,211,65,843,55,25,2,17,25,14,14,62,40,48,10,5,3,23,29,2,59,108,2,150,90,136,191,135,45,10,1288,9,114,55,49,18,52,31,59,29,13,15,8,3,6,3,49,919,2423,1473,3212,1409,895,12,502,9,10,8,14,4,5,2,224,111,192,38,191,182,122,130,65,25,54,24,15,147,858,238,445,1305,7979,4809,785,902,355,20,27,28,16,84,92,2,25,10,92,2
07-08-2019,1383,2278,870,1532,350,1075,571,59,44,6,14,20,16,42,34692,2710,1678,3842,4967,2670,684,23840,704,5417,71,1673,1651,1043,3994,1119,1253,85,2056,4,10102,658,5652,609,63,347,9,13,6,11,8,17246,1449,25613,3120,2506,1384,25622,2231,16587,46,6001,5546,855,1268,599,2667,4493,4267,8370,4043,4386,6065,2166,1644,16587,124,1691,4057,7607,79309,3479,9725,984,25471,11194,5985,19797,2185,1761,2794,3617,1125,2744,63,344,1251,284,373,194,321,167,608,736,231,115,252,47,10,2,496,99,128,9,4,3,142,33,48,16,8,38,33,83,2,6,1071,577,22,81,60,50,195,405,49,5,122,44,1,2,19,6,1,1,3,5,25,10,2,10,2,86,1065,4051,4501,1662,1298,1789,211,66,835,58,24,2,16,25,14,14,62,41,46,10,5,3,23,28,2,58,109,2,155,95,139,187,128,43,10,1327,9,119,53,48,17,51,32,58,28,13,15,8,3,6,3,48,965,2496,1414,3212,1479,931,12,507,9,10,8,15,4,5,2,213,117,188,37,187,182,123,124,64,25,56,25,16,141,892,238,467,1318,8378,4953,761,947,341,20,27,28,16,83,97,2,24,10,92,2
08-08-2019,1424,2210,879,1593,343,1021,594,57,45,6,13,20,16,43,33651,2818,1611,3919,4868,2617,677,22886,725,5688,72,1757,1634,1001,4074,1085,1203,83,1974,4,10102,658,5765,591,60,337,9,13,6,11,8,17763,1391,24588,3182,2606,1398,26903,2343,15924,48,6001,5823,898,1243,617,2587,4718,4267,8454,3841,4386,6308,2209,1677,16089,125,1759,4098,7835,81688,3514,9725,1014,25471,11418,6224,19401,2163,1814,2822,3689,1080,2854,60,327,1301,278,380,194,337,160,620,751,229,117,265,45,10,2,476,104,123,9,4,3,143,35,46,17,8,39,34,82,2,6,1060,577,22,85,63,52,195,405,47,5,118,43,1,2,18,6,1,1,3,5,25,11,2,10,2,89,1118,4254,4546,1662,1298,1843,200,68,802,59,24,2,15,24,14,14,63,42,47,10,5,3,22,27,2,60,110,2,163,100,139,194,133,44,10,1261,9,120,52,49,17,50,31,60,27,12,15,8,3,6,3,48,917,2396,1485,3180,1420,894,12,527,9,10,8,15,4,5,2,217,118,179,38,185,180,129,123,66,25,58,26,16,135,919,250,462,1318,8797,5201,769,900,341,20,26,29,16,85,96,2,24,10,93,2
09-08-2019,1381,2232,844,1513,340,980,600,58,44,6,13,20,16,42,32978,2931,1659,4115,5014,2486,677,22199,747,5574,69,1792,1699,1031,3993,1042,1239,80,1875,4,9799,625,6053,573,60,347,9,13,6,11,8,18118,1461,23850,3182,2606,1454,26365,2413,16402,48,6301,5939,862,1231,605,2561,4529,4395,8116,3764,4518,6245,2165,1694,16250,124,1689,4303,7757,77604,3338,9628,994,25980,10847,6473,19013,2271,1741,2794,3800,1112,2825,58,314,1249,267,376,202,327,152,589,743,218,115,268,45,10,2,486,101,129,9,4,3,139,35,44,16,8,39,34,79,2,6,1060,589,21,83,60,50,195,405,49,5,113,45,1,2,18,6,1,1,3,5,24,11,2,10,2,85,1096,4211,4637,1662,1246,1825,192,69,826,58,24,2,14,23,14,13,63,40,48,10,5,3,23,28,2,59,105,2,165,99,136,200,137,43,10,1299,9,116,50,47,17,53,29,59,27,12,14,8,3,6,3,49,963,2276,1426,3244,1349,930,12,548,9,10,8,15,4,5,2,215,117,188,36,187,189,124,123,63,24,57,27,16,131,947,243,444,1358,8445,5305,738,864,341,20,27,29,16,82,93,2,24,10,97,2
